State,District,Market,Commodity,Variety,Arrival_Date,Modal_x0020_Price
Karnataka,Chamrajnagar,Chamaraj Nagar,Coconut,Grade-I,2025-06-11,25900.0
Karnataka,Chamrajnagar,Chamaraj Nagar,Tomato,Tomato,2025-06-11,2300.0
Karnataka,Chamrajnagar,Gundlupet,Maize,Local,2025-06-11,1900.0
Karnataka,Dharwad,Kalagategi,Maize,Local,2025-06-11,1800.0
Karnataka,Mangalore(Dakshin Kannad),Sulya,Coconut,Grade-I,2025-06-11,3100.0
Karnataka,Mysore,Piriya Pattana,Maize,Hybrid/Local,2025-06-11,1500.0
Kerala,Alappuzha,Chengannur,Coconut,Big,2025-06-11,7400.0
Kerala,Alappuzha,Chengannur,Onion,Onion,2025-06-11,2200.0
Kerala,Alappuzha,Chengannur,Onion,Small,2025-06-11,5800.0
Kerala,Alappuzha,Chengannur,Tomato,Tomato,2025-06-11,3800.0
Kerala,Alappuzha,Harippad,Banana,Nendra Bale,2025-06-11,4500.0
Kerala,Alappuzha,Harippad,Onion,Big,2025-06-11,2200.0
Kerala,Alappuzha,Harippad,Onion,Other,2025-06-11,6000.0
Kerala,Ernakulam,Aluva,Banana,Palayamthodan,2025-06-11,2100.0
Kerala,Ernakulam,Aluva,Onion,Big,2025-06-11,2500.0
Kerala,Ernakulam,Aluva,Tomato,Tomato,2025-06-11,3300.0
Kerala,Ernakulam,Angamaly,Onion,Big,2025-06-11,3000.0
Kerala,Ernakulam,Angamaly,Tomato,Other,2025-06-11,4000.0
Kerala,Ernakulam,Broadway market,Onion,1st Sort,2025-06-11,2200.0
Kerala,Ernakulam,Broadway market,Tomato,Deshi,2025-06-11,3400.0
Kerala,Ernakulam,Ernakulam,Banana,Nendra Bale,2025-06-11,4000.0
Kerala,Ernakulam,Ernakulam,Banana,Palayamthodan,2025-06-11,2100.0
Kerala,Ernakulam,Ernakulam,Tomato,Tomato,2025-06-11,3000.0
Kerala,Ernakulam,Kadungallur  VFPCK,Banana,Nendra Bale,2025-06-11,4400.0
Kerala,Ernakulam,Kunnukara  VFPCK,Banana,Nendra Bale,2025-06-11,4600.0
Kerala,Ernakulam,POTHANIKKADU VFPCK,Banana,Nendra Bale,2025-06-11,3600.0
Kerala,Ernakulam,POTHANIKKADU VFPCK,Banana,Robusta,2025-06-11,1000.0
Kerala,Ernakulam,Perumbavoor,Banana,Palayamthodan,2025-06-11,2800.0
Kerala,Ernakulam,Perumbavoor,Onion,Onion,2025-06-11,2800.0
Kerala,Ernakulam,Perumbavoor,Tomato,Tomato,2025-06-11,3800.0
Kerala,Ernakulam,Piravam,Onion,Big,2025-06-11,4000.0
Kerala,Ernakulam,Piravam,Tomato,Other,2025-06-11,4500.0
Kerala,Ernakulam,Thrippunithura,Banana,Palayamthodan,2025-06-11,3400.0
Kerala,Ernakulam,Thrippunithura,Banana,Poovan,2025-06-11,5200.0
Kerala,Ernakulam,Thrippunithura,Onion,Big,2025-06-11,2600.0
Kerala,Ernakulam,Thrippunithura,Tomato,Tomato,2025-06-11,4500.0
Kerala,Idukki,ERRATTAYAR VFPCK,Banana,Nendra Bale,2025-06-11,3800.0
Kerala,Idukki,KANNAKUNNU VFPCK,Banana,Nendra Bale,2025-06-11,3400.0
Kerala,Idukki,Kamakshi VFPCK,Banana,Nendra Bale,2025-06-11,3200.0
Kerala,Idukki,Kodikulam  VFPCK,Banana,Nendra Bale,2025-06-11,2700.0
Kerala,Idukki,MELECHINNAR VFPCK,Banana,Nendra Bale,2025-06-11,3400.0
Kerala,Idukki,PARATHODE VFPCK,Banana,Nendra Bale,2025-06-11,3300.0
Kerala,Idukki,Pazhayarikandam  VFPCK,Banana,Nendra Bale,2025-06-11,3000.0
Kerala,Idukki,Rajakkad  VFPCK,Banana,Nendra Bale,2025-06-11,3300.0
