date,commodity,price_modal
2024-08-10,Tomato,2492.7710843373493
2024-08-11,Tomato,2571.6867469879517
2024-08-12,Tomato,2629.940119760479
2024-08-13,Tomato,2598.2035928143714
2024-08-14,Tomato,2518.4523809523807
2024-08-15,Tomato,2492.7710843373493
2024-08-16,Tomato,2474.251497005988
2024-08-17,Tomato,2530.5389221556884
2024-08-18,Tomato,2576.6467065868264
2024-08-19,Tomato,2546.706586826347
2024-08-20,Tomato,2566.4670658682635
2024-08-21,Tomato,2489.820359281437
2024-08-22,Tomato,2474.8502994011974
2024-08-23,Tomato,2502.994011976048
2024-08-24,Tomato,2529.3413173652693
2024-08-25,Tomato,2536.5269461077846
2024-08-26,Tomato,2401.818181818182
2024-08-27,Tomato,2319.7604790419164
2024-08-28,Tomato,2226.190476190476
2024-08-29,Tomato,2172.7272727272725
2024-08-30,Tomato,2129.940119760479
2024-08-31,Tomato,2066.4670658682635
2024-09-01,Tomato,2086.22754491018
2024-09-02,Tomato,2074.251497005988
2024-09-03,Tomato,2340.119760479042
2024-09-04,Tomato,2470.4819277108436
2024-09-05,Tomato,2529.5180722891564
2024-09-06,Tomato,4683.1325301204815
2024-09-07,Tomato,2627.5449101796407
2024-09-08,Tomato,2621.0843373493976
2024-09-09,Tomato,2559.6385542168673
2024-09-10,Tomato,2539.156626506024
2024-09-11,Tomato,2388.622754491018
2024-09-12,Tomato,2320.4819277108436
2024-09-13,Tomato,2395.1807228915663
2024-09-14,Tomato,2654.2168674698796
2024-09-15,Tomato,2771.8562874251497
2024-09-16,Tomato,3002.409638554217
2024-09-17,Tomato,3206.024096385542
2024-09-18,Tomato,3178.3132530120483
2024-09-19,Tomato,3149.397590361446
2024-09-20,Tomato,3327.10843373494
2024-09-21,Tomato,3769.512195121951
2024-09-22,Tomato,4007.2727272727275
2024-09-23,Tomato,4007.8313253012047
2024-09-24,Tomato,3957.2289156626507
2024-09-25,Tomato,4214.880952380952
2024-09-26,Tomato,4161.44578313253
2024-09-27,Tomato,4100.6024096385545
2024-09-28,Tomato,4184.756097560976
2024-09-29,Tomato,4330.30303030303
2024-09-30,Tomato,4400.6024096385545
2024-10-01,Tomato,4673.493975903614
2024-10-02,Tomato,5142.424242424242
2024-10-03,Tomato,5701.219512195122
2024-10-04,Tomato,6187.951807228916
2024-10-05,Tomato,6327.272727272727
2024-10-06,Tomato,6402.409638554217
2024-10-07,Tomato,6261.44578313253
2024-10-08,Tomato,6049.390243902439
2024-10-09,Tomato,5740.963855421687
2024-10-10,Tomato,5327.272727272727
2024-10-11,Tomato,5070.30303030303
2024-10-12,Tomato,4986.585365853659
2024-10-13,Tomato,5686.144578313253
2024-10-14,Tomato,5720.0
2024-10-15,Tomato,5916.969696969697
2024-10-16,Tomato,5905.487804878048
2024-10-17,Tomato,5600.609756097561
2024-10-18,Tomato,5644.242424242424
2024-10-19,Tomato,5649.69696969697
2024-10-20,Tomato,5415.8536585365855
2024-10-21,Tomato,5117.073170731707
2024-10-22,Tomato,4937.423312883436
2024-10-23,Tomato,4898.170731707317
2024-10-24,Tomato,4701.840490797546
2024-10-25,Tomato,4556.363636363636
2024-10-26,Tomato,4437.6543209876545
2024-10-27,Tomato,4501.219512195122
2024-10-28,Tomato,4407.272727272727
2024-10-29,Tomato,4326.708074534162
2024-10-30,Tomato,4259.393939393939
2024-10-31,Tomato,4059.8639455782313
2024-11-01,Tomato,3901.25
2024-11-02,Tomato,3909.6969696969695
2024-11-03,Tomato,3914.6341463414633
2024-11-04,Tomato,3786.6666666666665
2024-11-05,Tomato,3717.0731707317073
2024-11-06,Tomato,3669.879518072289
2024-11-07,Tomato,3587.6543209876545
2024-11-08,Tomato,3416.3636363636365
2024-11-09,Tomato,3186.5030674846626
2024-11-10,Tomato,3063.030303030303
2024-11-11,Tomato,2925.4545454545455
2024-11-12,Tomato,2918.2926829268295
2024-11-13,Tomato,2934.9397590361446
2024-11-14,Tomato,3007.317073170732
2024-11-15,Tomato,3002.439024390244
2024-11-16,Tomato,2955.151515151515
2024-11-17,Tomato,3046.060606060606
