date,commodity,price_modal
2024-08-10,Maize,2855.2631578947367
2024-08-11,Maize,2912.8205128205127
2024-08-12,Maize,2853.846153846154
2024-08-13,Maize,2800.0
2024-08-14,Maize,2825.641025641026
2024-08-15,Maize,2887.5
2024-08-16,Maize,2808.108108108108
2024-08-17,Maize,2786.842105263158
2024-08-18,Maize,2862.162162162162
2024-08-19,Maize,2802.6315789473683
2024-08-20,Maize,2826.470588235294
2024-08-21,Maize,2807.6923076923076
2024-08-22,Maize,2808.108108108108
2024-08-23,Maize,2744.7368421052633
2024-08-24,Maize,2727.027027027027
2024-08-25,Maize,2782.5
2024-08-26,Maize,2771.7948717948716
2024-08-27,Maize,2792.3076923076924
2024-08-28,Maize,2812.8205128205127
2024-08-29,Maize,2782.8571428571427
2024-08-30,Maize,2840.0
2024-08-31,Maize,2833.3333333333335
2024-09-01,Maize,2850.0
2024-09-02,Maize,2835.294117647059
2024-09-03,Maize,2772.222222222222
2024-09-04,Maize,2791.891891891892
2024-09-05,Maize,2805.5555555555557
2024-09-06,Maize,2813.8888888888887
2024-09-07,Maize,2870.0
2024-09-08,Maize,2884.6153846153848
2024-09-09,Maize,2813.8888888888887
2024-09-10,Maize,2837.1428571428573
2024-09-11,Maize,2748.6486486486488
2024-09-12,Maize,2813.157894736842
2024-09-13,Maize,2737.837837837838
2024-09-14,Maize,2764.102564102564
2024-09-15,Maize,2822.5
2024-09-16,Maize,2751.5151515151515
2024-09-17,Maize,2792.3076923076924
2024-09-18,Maize,2787.5
2024-09-19,Maize,2758.974358974359
2024-09-20,Maize,2735.0
2024-09-21,Maize,2772.5
2024-09-22,Maize,2765.1162790697676
2024-09-23,Maize,2775.0
2024-09-24,Maize,2776.923076923077
2024-09-25,Maize,2745.0
2024-09-26,Maize,2756.4102564102564
2024-09-27,Maize,2768.2926829268295
2024-09-28,Maize,2807.317073170732
2024-09-29,Maize,2877.5
2024-09-30,Maize,2857.5
2024-10-01,Maize,2802.3809523809523
2024-10-02,Maize,2785.714285714286
2024-10-03,Maize,2738.4615384615386
2024-10-04,Maize,2775.675675675676
2024-10-05,Maize,2782.5
2024-10-06,Maize,2867.4418604651164
2024-10-07,Maize,2812.5
2024-10-08,Maize,2772.5
2024-10-09,Maize,2828.9473684210525
2024-10-10,Maize,2780.487804878049
2024-10-11,Maize,2748.6486486486488
2024-10-12,Maize,2805.2631578947367
2024-10-13,Maize,2822.5
2024-10-14,Maize,2835.897435897436
2024-10-15,Maize,2851.2820512820513
2024-10-16,Maize,2777.5
2024-10-17,Maize,2810.25641025641
2024-10-18,Maize,2714.6341463414633
2024-10-19,Maize,2760.5263157894738
2024-10-20,Maize,2740.0
2024-10-21,Maize,2759.4594594594596
2024-10-22,Maize,2739.4736842105262
2024-10-23,Maize,2800.0
2024-10-24,Maize,2781.5789473684213
2024-10-25,Maize,2744.4444444444443
2024-10-26,Maize,2765.7894736842104
2024-10-27,Maize,2790.243902439024
2024-10-28,Maize,2767.5675675675675
2024-10-29,Maize,2802.777777777778
2024-10-30,Maize,2847.6190476190477
2024-10-31,Maize,2860.0
2024-11-01,Maize,2810.810810810811
2024-11-02,Maize,2830.769230769231
2024-11-03,Maize,2763.4146341463415
2024-11-04,Maize,2784.2105263157896
2024-11-05,Maize,2768.4210526315787
2024-11-06,Maize,2802.5
2024-11-07,Maize,2724.390243902439
2024-11-08,Maize,2760.9756097560976
2024-11-09,Maize,2792.682926829268
2024-11-10,Maize,2778.5714285714284
2024-11-11,Maize,2814.285714285714
2024-11-12,Maize,2816.6666666666665
2024-11-13,Maize,2797.4358974358975
